Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	theta	population_size	
56250	-5803.688626318916	-5791.168731000479	-12.519895318437216	1.4797761412891515	4.031364682085893	0.014081600047768391	0.01126641806227146	66673.40136568813	
56300	-5801.345445743676	-5790.910619505475	-10.434826238200557	0.589518361799524	4.031364682085893	0.014406583630449974	0.01126641806227146	65169.38338327131	
56350	-5802.475955376928	-5792.543290537788	-9.932664839139663	0.9483401273272518	3.843536076371567	0.015982026105708588	0.013154370129785369	68589.39558507534	
56400	-5802.237347032846	-5792.554468513769	-9.682878519076748	0.7868488134971362	3.843536076371567	0.014405660264168469	0.011925106397721298	68983.91661703796	
56450	-5803.890258968095	-5792.144874724173	-11.745384243921801	1.5270919378998684	3.764681802225263	0.013172233540928821	0.009804967114835384	62030.52734861648	
56500	-5804.285626537604	-5792.817665072696	-11.467961464907173	1.5270919378998684	3.686774809689321	0.01242592147635	0.009324451847659884	62533.604083252634	
56550	-5805.371953202231	-5793.9682950175375	-11.40365818469363	1.5270919378998684	3.643476229520743	0.013169063602759129	0.009324451847659884	59004.776452659484	
56600	-5801.763820334169	-5791.811483269324	-9.952337064845517	1.177560610706825	3.643476229520743	0.0127646483282213	0.009324451847659884	60874.192064791016	
56650	-5802.143729179417	-5792.043004501676	-10.100724677741729	1.3012094571755917	3.530623205149779	0.012276280665426674	0.009529031226700346	64684.56996056818	
56700	-5802.05438847067	-5792.097954019663	-9.956434451007297	0.5798273346388763	3.928655011229299	0.012735604082587369	0.009390036336109886	61442.160335293935	
56750	-5801.5904045161315	-5791.2529717991465	-10.337432716985138	1.1913614902720169	4.051164473318453	0.013821091706707379	0.010624729729661518	64061.08597838026	
56800	-5802.524676034052	-5792.834235735438	-9.690440298614785	0.643962303496323	3.9791604049727223	0.012716373059831528	0.00991825423473211	64996.6136050609	
56850	-5802.883703432517	-5791.779933298781	-11.1037701337367	0.46130619322133254	4.252632020488721	0.011673473039652223	0.009828942100463381	70165.79432613745	
56900	-5802.063586579468	-5792.21286441958	-9.850722159888782	0.7383190474691455	4.252632020488721	0.012386792774343628	0.01000969075067582	67341.15207104951	
56950	-5800.07721142074	-5790.535131382476	-9.542080038264308	0.7383190474691455	4.0014059946315985	0.013086972025822943	0.010052268359302194	64009.38492792212	
57000	-5800.141706913138	-5790.718196382844	-9.423510530293342	0.823134529368968	4.0024755239775835	0.012554093602802581	0.009664365241589347	64151.48680687357	
57050	-5801.691305073071	-5791.065644688219	-10.625660384851292	1.1180685622401223	4.25252287048982	0.011566138967992167	0.009385449243876893	67621.59545959937	
57100	-5799.992434660469	-5790.121661667025	-9.870772993444007	1.1180685622401223	3.9909922041968042	0.011566138967992167	0.009385449243876893	67621.59545959937	
57150	-5802.107106908424	-5792.207185134491	-9.89992177393303	1.0458713441678176	4.125044017154736	0.011566138967992167	0.009327763272577555	67205.9715173099	
57200	-5804.340588287681	-5794.311596761729	-10.028991525952335	0.6443173652129596	3.6038062435704665	0.01172568093797011	0.009327763272577555	66291.55357033739	
57250	-5804.101190283209	-5794.6041254907195	-9.49706479248945	0.7459822860003436	3.3124767058397833	0.01172568093797011	0.008757415384420817	62238.14371455497	
57300	-5804.15369046224	-5793.677053745493	-10.476636716746917	1.4325216186341578	3.4713335785632626	0.012616711475423835	0.009950138456268435	65720.62825596014	
57350	-5806.026225637169	-5796.151106415609	-9.875119221559963	0.8638315533681452	4.022396786868894	0.012071714839185944	0.010717160476222398	73982.5880787698	
57400	-5806.880271468619	-5796.9155040297	-9.96476743891904	0.8605752634761767	4.022396786868894	0.013716790086013134	0.011153994261705527	67763.63245192436	
57450	-5806.281241262789	-5795.408756864535	-10.872484398254109	1.0876333483067755	4.148569654880927	0.013045049566703994	0.01166371079958768	74509.176450084	
57500	-5807.864105940936	-5794.517892038538	-13.346213902397967	1.544011470124254	4.1208507036443764	0.013045049566703994	0.011637914233008004	74344.38490439863	
57550	-5807.958223022028	-5795.359535973027	-12.598687049000146	1.544011470124254	3.8930090412621023	0.013852846641421526	0.011637914233008004	70009.1621013196	
57600	-5802.953978668699	-5792.809432464893	-10.144546203806023	0.7917730791808474	4.005699761702522	0.014426428806587632	0.011618447552652759	67113.21115582992	
57650	-5802.282243981023	-5792.31382641765	-9.968417563374242	0.7917730791808474	3.991950968820269	0.012958209409001366	0.012093084918151482	77769.77857855803	
57700	-5801.196565386018	-5790.849585468688	-10.346979917330152	0.6599309837398376	4.046399529249769	0.014683578569042849	0.012093084918151482	68631.57177755437	
57750	-5800.339092977474	-5790.1426291758235	-10.19646380165099	0.6750446634573363	4.049312565422886	0.013611479365057725	0.01137380842948126	69633.67784670029	
57800	-5800.280684459218	-5789.5635447382765	-10.717139720941402	0.5848184628016604	4.130348915115741	0.013442648218938737	0.011757746445933673	72888.33181302722	
57850	-5802.725253197322	-5792.071848811665	-10.653404385656017	0.588709300998733	4.0329831373649245	0.013442648218938737	0.011421899009748595	70806.35466887147	
57900	-5802.050418236204	-5791.650984983059	-10.399433253145023	0.708088160339919	4.077644489995543	0.013823210625041892	0.01210201973475522	72957.12059367384	
57950	-5800.545126936387	-5790.589492554441	-9.955634381945796	0.7461995154064659	3.8971579600313895	0.013155151395171568	0.01151968879443441	72973.24351243985	
58000	-5799.957801984702	-5790.1647135101075	-9.79308847459437	0.8740041707081666	3.7508614738682136	0.013763607013263656	0.011142292623718712	67462.28546158693	
58050	-5799.658893421592	-5789.837335959931	-9.821557461661186	0.9453950826225753	3.7508614738682136	0.013476882697880515	0.010771703861465835	66606.0548702896	
58100	-5800.176056468687	-5790.441756216246	-9.734300252441576	0.9623508672320299	3.111130559166844	0.015558819006154882	0.010169347431149167	54467.220097308884	
58150	-5800.198744476325	-5790.481014916145	-9.717729560180853	1.0704563911521279	3.2458647011335926	0.015050166015854132	0.010087870480478222	55856.91695942903	
58200	-5803.172825947441	-5793.276041344589	-9.896784602851344	1.0704563911521279	2.9702576545622934	0.014569042704843965	0.010683495142056649	61108.42557569324	
58250	-5803.131384147717	-5792.538197673493	-10.59318647422354	1.4235149293154792	2.7810571305897303	0.014569042704843965	0.008835722848090496	50539.3698308032	
58300	-5801.964504695467	-5791.479512189505	-10.484992505962829	0.9536923987469662	2.7810571305897303	0.015252650583175606	0.009159690730457627	50044.25668240464	
58350	-5801.1953822898495	-5791.5235573889695	-9.67182490087958	0.9536923987469662	3.596597784924798	0.013495533375890705	0.010348403971356071	63900.17894021101	
58400	-5802.04756962518	-5791.72161065438	-10.325958970799439	1.2424556819317407	3.596597784924798	0.013495533375890705	0.010348403971356071	63900.17894021101	
58450	-5801.4530500613655	-5791.16563861074	-10.287411450625411	1.2538663147157498	3.5515027651089386	0.013538767167177829	0.010348403971356071	63696.12439333849	
58500	-5800.530660262544	-5790.866957637784	-9.663702624759718	0.9628058634748099	3.628291660723725	0.013211457387537021	0.010348403971356071	65274.17621817534	
58550	-5804.744298399536	-5794.084387803821	-10.659910595714415	0.6987572079203206	4.1007265363399386	0.013211457387537021	0.012165587110705487	76736.34302060326	
58600	-5804.771010705067	-5794.090511383368	-10.680499321699305	0.8680310634872966	4.052586865608061	0.013399047963627694	0.012165587110705487	75662.01185667263	
58650	-5806.699349712167	-5796.115737772806	-10.583611939360843	0.6863068972594804	4.044545127153063	0.01355776778998356	0.011884937999900614	73051.22165637258	
58700	-5804.641979111718	-5793.870027287335	-10.771951824383406	0.9519749320288872	4.044545127153063	0.013004630617944213	0.011563436275888777	74098.19763183156	
58750	-5805.901899650472	-5794.224079493176	-11.677820157296384	1.1722876869641508	4.044545127153063	0.012950633022424007	0.012031242840256945	77417.34078059389	
58800	-5806.335529280515	-5793.152536467635	-13.182992812880288	1.1722876869641508	4.657826309057027	0.014296516974376743	0.012384261844934342	72186.9405157116	
58850	-5802.150309918454	-5790.875118891116	-11.275191027337858	0.4962699324581539	4.317346646955581	0.013392814316381342	0.012384261844934342	77057.8756661237	
58900	-5800.757725191907	-5790.777910931004	-9.97981426090357	0.6729629886231346	3.9391172188203423	0.012475229773347373	0.010335091350871097	69037.41479877348	
58950	-5804.630067492872	-5794.2359265355635	-10.39414095730766	0.6598346216529003	4.260425820227424	0.010790603231646222	0.010344913950186213	79891.37808229825	
59000	-5802.4716647662835	-5791.758724380712	-10.71294038557132	0.6511891656477108	4.4456867182741835	0.010790603231646222	0.00985845455853373	76134.56469870373	
59050	-5805.293350364162	-5794.429823485446	-10.863526878715673	0.8515527079589542	4.329814004923123	0.012700019085343324	0.012962972456866074	85058.74656405185	
59100	-5802.437680754609	-5790.955326003065	-11.482354751543014	0.5412839965601901	4.477504613048966	0.012966170340944569	0.012404516214248451	79723.59280646314	
59150	-5805.070248832067	-5791.591343532871	-13.47890529919591	0.34168978171255915	4.562525110404086	0.01214663734899727	0.011952050902398694	81998.35174537257	
59200	-5803.527638113564	-5791.441584138094	-12.08605397546942	0.5827296097194881	4.817904457008378	0.011659502471568854	0.011678591733454516	83469.76898551352	
59250	-5804.577089485608	-5791.398172575774	-13.17891690983407	0.5827296097194881	5.320234697642004	0.011424713290251869	0.012479199473296187	91024.89165558941	
59300	-5803.952738032423	-5790.522823689037	-13.429914343386265	0.44954287060308884	5.22757301121652	0.011664978328864968	0.012479199473296187	89150.04041353732	
59350	-5804.660121303523	-5791.351810008584	-13.308311294939328	0.6134646208935675	5.357030927114448	0.011375470733551645	0.012751386474525981	93412.88500788594	
59400	-5805.246219621768	-5789.581289134341	-15.664930487426876	0.8856393843304475	5.709800469113301	0.011032742814883211	0.012712795769051032	96023.23422166472	
59450	-5802.029980506348	-5789.9458404588795	-12.084140047468015	0.9821538036881431	4.718008510868624	0.012589778545143879	0.011379261249686065	75320.76655732271	
59500	-5804.089803034798	-5792.758711006357	-11.331092028440727	0.8786306820432752	4.52461617916517	0.011362537267158043	0.011379261249686065	83455.98773506601	
59550	-5803.793328911298	-5791.820588184534	-11.972740726763796	1.0768824682927003	4.454820653572851	0.012022863262656348	0.01102217304351494	76397.31070932714	
59600	-5802.997274183308	-5792.074763650232	-10.922510533076121	0.8098042102855436	4.465627765030483	0.01144607157956158	0.01102217304351494	80247.13229410832	
59650	-5802.210340480491	-5791.344199810451	-10.866140670040464	0.8098042102855436	4.459130535641453	0.010876813504312785	0.010345982631162409	79266.34201475231	
59700	-5802.85187681426	-5791.821878720267	-11.029998093993125	0.7480174397488422	4.5654548217349875	0.010422973677901515	0.010345982631162409	82717.77766180794	
59750	-5803.493206283855	-5792.493000972538	-11.000205311317501	0.8608981053944411	4.477930242386769	0.010555295020611472	0.010345982631162409	81680.82631323634	
59800	-5805.582677526444	-5792.7540145036155	-12.828663022828824	0.5230339580606657	5.142145815141881	0.009898102051912293	0.010345982631162409	87104.09477915673	
59850	-5804.498344570763	-5792.117582022661	-12.380762548102481	0.5080842340369833	4.968925234602891	0.009821742153582806	0.010949706373091717	92903.6332681693	
59900	-5804.44714085845	-5792.718908358187	-11.728232500263104	0.6915062117870163	4.809313559764334	0.010485510231800334	0.010218690122291492	81212.78710962141	
